SPORT,Netball,Gold Coast Convention and Exhibition Centre,,,,,
2018,APRIL,5,13,0,A,Jamaica,Fiji
2018,APRIL,5,15,0,B,England,Scotland
2018,APRIL,5,18,30,B,New Zealand,Uganda
2018,APRIL,5,20,30,A,Australia,Northern Ireland
2018,APRIL,6,13,0,B,Wales,New Zealand
2018,APRIL,6,15,0,A,South Africa,Jamaica
2018,APRIL,6,18,30,B,Malawi,England
2018,APRIL,6,20,30,A,Barbados,Australia
2018,APRIL,7,13,0,B,Uganda,Malawi
2018,APRIL,7,15,0,A,Northern Ireland,South Africa
2018,APRIL,7,18,30,B,Scotland,Wales
2018,APRIL,7,20,30,A,Fiji,Barbados
2018,APRIL,8,13,0,A,Jamaica,Northern Ireland
2018,APRIL,8,15,0,B,England,Uganda
2018,APRIL,8,18,30,B,Malawi,New Zealand
2018,APRIL,8,20,30,A,Australia,South Africa
2018,APRIL,9,13,0,B,England,Wales
2018,APRIL,9,15,0,A,Fiji,Australia
2018,APRIL,9,18,30,A,Jamaica,Barbados
2018,APRIL,9,20,30,B,New Zealand,Scotland
2018,APRIL,10,13,0,A,Barbados,Northern Ireland
2018,APRIL,10,15,0,B,Scotland,Malawi
2018,APRIL,10,18,30,A,South Africa,Fiji
2018,APRIL,10,20,30,B,Wales,Uganda
2018,APRIL,11,9,0,B,New Zealand,England
2018,APRIL,11,11,0,A,South Africa,Barbados
2018,APRIL,11,14,0,A,Northern Ireland,Fiji
2018,APRIL,11,16,0,B,Uganda,Scotland
2018,APRIL,11,19,0,B,Malawi,Wales
2018,APRIL,11,21,0,A,Australia,Jamaica
SPORT,Men's Rugby Sevens,Robina Stadium,,,,,
2018,APRIL,14,9,30,B,Australia,Samoa
2018,APRIL,14,9,30,B,England,Jamaica
2018,APRIL,14,10,30,C,Canada,Kenya
2018,APRIL,14,10,30,C,New Zealand,Zambia
2018,APRIL,14,11,30,D,Wales,Uganda
2018,APRIL,14,11,30,D,Fiji,Sri Lanka
2018,APRIL,14,12,30,A,Scotland,Papua New Guinea
2018,APRIL,14,12,20,A,South Africa,Malaysia
2018,APRIL,14,14,30,B,Australia,Jamaica
2018,APRIL,14,14,30,B,England,Samoa
2018,APRIL,14,15,30,C,Canada,Zambia
2018,APRIL,14,15,30,C,New Zealand,Kenya
2018,APRIL,14,17,30,D,Wales,Sri Lanka
2018,APRIL,14,17,30,D,Fiji,Uganda
2018,APRIL,14,18,0,A,Scotland,Malaysia
2018,APRIL,14,18,0,A,South Africa,Papua New Guinea
2018,APRIL,14,19,0,B,Samoa,Jamaica
2018,APRIL,14,19,0,B,England,Australia
2018,APRIL,14,19,30,C,Kenya,Zambia
2018,APRIL,14,19,30,C,New Zealand,Canada
2018,APRIL,14,20,0,D,Uganda,Sri Lanka
2018,APRIL,14,20,0,D,Fiji,Wales
2018,APRIL,14,20,30,A,Papua New Guinea,Malaysia
2018,APRIL,14,20,30,A,South Africa,Scotland
SPORT,Women's Rugby Sevens,Robina Stadium,,,,,
2018,APRIL,13,16,30,A,Canada,South Africa
2018,APRIL,13,16,30,A,New Zealand,Kenya
2018,APRIL,13,17,30,B,Fiji,England
2018,APRIL,13,17,30,B,Australia,Wales
2018,APRIL,13,18,30,A,Canada,Kenya
2018,APRIL,13,18,30,A,New Zealand,South Africa
2018,APRIL,13,19,30,B,Fiji,Wales
2018,APRIL,13,19,30,B,Australia,England
2018,APRIL,14,13,30,A,South Africa,Kenya
2018,APRIL,14,13,30,A,New Zealand,Canada
2018,APRIL,14,18,30,B,England,Wales
2018,APRIL,14,18,30,B,Australia,Fiji
